CUSTOMER CODE,CUSTOMER NAME,ADDRESS 1,ADDRESS 2,TRANSACTION TYPE,ITEM CODE,ITEM DIMENSION,ITEM UNIT OF MEASURE,COMPANY CODE,COMPANY DIMENSION,LOT NUMBER,EXPIRATION DATE,SEGMENT CODE,SEGMENT NAME,PRINCIPAL CODE,PRINCIPAL DIMENSION,QUANTITY SOLD,QUANTITY FREE,UNIT PRICE,GROSS SALES AMOUNT,DISCOUNT AMOUNT,VALUE ADDED TAX AMOUNT,VAT EXCLUSIVE,SALES TAX,NET OF SALES TAX,MDI DISTRIBUTION FEE,BILLING NET SALES,BILLING VAT AMOUNT,BILL GROSS SALES,GB DISTRIBUTION FEE,METRO DRUG CYCLE DATE,Sales Week Number,PERIOD FROM DATE,PERIOD TO DATE,BATCH NUMBER,Batch Date
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-11221,Iopamiro 370 mg x 50 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'E3P351D        ,02/28/2015,'014,HOSPITAL,PC-0003,BRACCO IMAGING SPA,-300,0,"1,500.00","-450,000.00","204,300.00","48,214.29","401,785.71",721.91,"401,063.80","31,082.44","370,703.27","44,484.39","415,187.66",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-11216,Iopamiro 300 mg x 50 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'C2P367F        ,11/30/2015,'014,HOSPITAL,PC-0003,BRACCO IMAGING SPA,-260,0,"1,200.00","-312,000.00","244,920.00","33,428.57","278,571.43",500.53,"278,070.90","21,550.49","257,020.93","30,842.51","287,863.45",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13406,Lagundex 300mg/5ml x 120 ml Peppermint,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'700314         ,07/31/2013,'004,MEDIPHARMA,PC-0074,LA CROESUS PHARMA INC.,-203,0,96.00,"-19,488.00","4,872.00","2,088.00","17,400.00",31.26,"17,368.74","1,346.08","16,053.92","1,926.47","17,980.39",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16216,Rowatanal Cream 26g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7141-1         ,06/30/2014,'026,GASTRO OB,PC-0218,ROWA PHARMACEUTICALS LIMITED,-126,0,411.60,"-51,861.60","9,878.40","5,556.60","46,305.00",83.20,"46,221.80","3,582.19","42,722.81","5,126.74","47,849.55",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-15166,Panpure Lyophilized Powder Inj 20mg,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'LNA11002       ,11/30/2013,'026,GASTRO OB,PC-0083,KALBE INTERNATIONAL,-59,0,375.00,"-22,125.00","7,375.00","2,370.54","19,754.46",35.49,"19,718.97","1,528.22","18,226.24","2,187.15","20,413.39","1,478.92",12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16216,Rowatanal Cream 26g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7064-1         ,12/31/2013,'026,GASTRO OB,PC-0218,ROWA PHARMACEUTICALS LIMITED,-58,0,438.81,"-25,450.98","2,969.02","2,726.89","22,724.09",40.83,"22,683.26","1,757.95","20,966.14","2,515.94","23,482.07","1,701.24",12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12209,Clonate Cream 15g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1145A205       ,10/31/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-50,0,174.24,"-8,712.00","3,388.00",933.43,"7,778.57",13.98,"7,764.60",601.76,"7,176.82",861.22,"8,038.03",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13926,Rabipur Powder 1Ml Vial 2.5Iu/M,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'2348           ,11/30/2015,'002,BIOLOGICA,PC-0005,"NOVARTIS HEALTHCARE PHILIPPINES, INC",-50,0,"1,600.00","-80,000.00","12,500.00","8,571.43","71,428.57",128.34,"71,300.23","5,525.77","65,902.80","7,908.34","73,811.14",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13926,Rabipur Powder 1Ml Vial 2.5Iu/M,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'2348           ,11/30/2015,'002,BIOLOGICA,PC-0005,"NOVARTIS HEALTHCARE PHILIPPINES, INC",-40,0,"1,850.00","-74,000.00",0.00,"7,928.57","66,071.43",118.71,"65,952.71","5,111.34","60,960.09","7,315.21","68,275.30",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12232,Hopaq Ointment 2% 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'1182B002       ,11/30/2013,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-27,0,205.33,"-5,543.91",693.09,593.99,"4,949.92",8.89,"4,941.03",382.93,"4,566.99",548.04,"5,115.03",0.00,12/01/2013,1,12/01/2013,12/07/2013,2013001,12/08/2013
