CUSTOMER CODE,CUSTOMER NAME,ADDRESS 1,ADDRESS 2,TRANSACTION TYPE,ITEM CODE,ITEM DIMENSION,ITEM UNIT OF MEASURE,COMPANY CODE,COMPANY DIMENSION,LOT NUMBER,EXPIRATION DATE,SEGMENT CODE,SEGMENT NAME,PRINCIPAL CODE,PRINCIPAL DIMENSION,QUANTITY SOLD,QUANTITY FREE,UNIT PRICE,GROSS SALES AMOUNT,DISCOUNT AMOUNT,VALUE ADDED TAX AMOUNT,VAT EXCLUSIVE,SALES TAX,NET OF SALES TAX,MDI DISTRIBUTION FEE,BILLING NET SALES,BILLING VAT AMOUNT,BILL GROSS SALES,GB DISTRIBUTION FEE,METRO DRUG CYCLE DATE,Sales Week Number,PERIOD FROM DATE,PERIOD TO DATE,BATCH NUMBER,Batch Date
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16209,Rowagel 2% 5 g Tube,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'7277           ,01/31/2015,'017,DERMATOLOGICALS,PC-0118,ROWA PHARMACEUTICALS LIMITED,-200,0,334.80,"-66,960.00","26,040.00","7,174.29","59,785.71",107.42,"59,678.29","4,625.07","55,160.65","6,619.28","61,779.92",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12243,Ezerra Lotion 150ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'03604117       ,04/30/2014,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-168,0,450.00,"-75,600.00","25,200.00","8,100.00","67,500.00",121.28,"67,378.72","5,221.85","62,278.15","7,473.38","69,751.53",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-16701,Equirab Soln. for Injection 1000 I.U/ 5ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'A6813008       ,05/31/2015,'002,BIOLOGICA,PC-0072,"BHARAT SERUMS AND VACCINES, LIMITED",-80,0,"1,000.00","-80,000.00","16,000.00","8,571.43","71,428.57",128.34,"71,300.23","5,525.77","65,902.80","7,908.34","73,811.14",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-12232,Hopaq Ointment 2% 5g,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'04044202       ,04/30/2015,'017,DERMATOLOGICALS,PC-0048,HOE PHARMACEUTICALS SENDIRIAN BERHAD,-60,0,150.15,"-9,009.00","4,851.00",965.25,"8,043.75",14.45,"8,029.30",622.27,"7,421.48",890.58,"8,312.06",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-11216,Iopamiro 300 mg x 50 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'C2P367F        ,11/30/2015,'014,HOSPITAL,PC-0003,BRACCO IMAGING SPA,-30,0,"1,450.00","-43,500.00","20,760.00","4,660.71","38,839.29",69.79,"38,769.50","3,004.64","35,834.65","4,300.16","40,134.81",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-11703,Konazole Tabs 200mg,30's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'M02008         ,04/30/2015,'017,DERMATOLOGICALS,PC-0050,"PHIL-INTERNATIONAL CO., LTD.",-30,0,"1,025.99","-30,779.70","1,620.30","3,297.83","27,481.88",49.38,"27,432.50","2,126.02","25,355.86","3,042.70","28,398.56",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13002,Kedrialb 20% IV Sol For Inf 50ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'132908         ,03/31/2016,'014,HOSPITAL,PC-0055,KEDRION INTERNATIONAL GMBH,-25,0,"2,100.00","-52,500.00","35,000.00","5,625.00","46,875.00",84.22,"46,790.78","3,626.29","43,248.71","5,189.85","48,438.56",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13410,Lagundex 300mg/5ml x 120ml Sweet Orange,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'803315         ,09/30/2015,'004,MEDIPHARMA,PC-0074,LA CROESUS PHARMA INC.,-16,0,90.00,"-1,440.00",480.00,154.29,"1,285.71",2.31,"1,283.40",99.46,"1,186.25",142.35,"1,328.60",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-13926,Rabipur Powder 1Ml Vial 2.5Iu/M,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'2477           ,04/30/2016,'002,BIOLOGICA,PC-0005,"NOVARTIS HEALTHCARE PHILIPPINES, INC",-12,0,"1,600.00","-19,200.00","3,000.00","2,057.14","17,142.86",30.80,"17,112.06","1,326.18","15,816.67","1,898.00","17,714.67",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
CU-TAG00131,"METRO DRUG, INC.",STA. MARIA INDUSTRIAL ESTATE,"1631 MANALAC AVE., TAGUIG CITY",CR,FG-11216,Iopamiro 300 mg x 50 ml,1's,NMPC    ,NEW MARKETLINK PHARMACEUTICAL CORP.,'C2P367F        ,11/30/2015,'014,HOSPITAL,PC-0003,BRACCO IMAGING SPA,-10,0,"1,450.00","-14,500.00","6,920.00","1,553.57","12,946.43",23.26,"12,923.17","1,001.55","11,944.88","1,433.39","13,378.27",0.00,12/01/2013,4,12/22/2013,12/28/2013,2013004,12/29/2013
